"","Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
"411",30,"Travel_Rarely",317,"Research & Development",2,3,"Life Sciences",1,548,3,"Female",43,1,2,"Manufacturing Director",4,"Single",6091,24793,2,"Y","No",20,4,3,80,0,11,2,3,5,4,0,2,"0"
"707",40,"Non-Travel",1479,"Sales",24,3,"Life Sciences",1,986,2,"Female",100,4,4,"Sales Executive",2,"Single",13194,17071,4,"Y","Yes",16,3,4,80,0,22,2,2,1,0,0,0,"1"
"1981",32.3162983243819,"Travel_Rarely",1173.07734530605,"Research & Development",15.6837016756181,1,"Medical",1,206.647780085681,2,"Female",66.9392268098891,1.63259664876387,1.63259664876387,"Research Scientist",1.63259664876387,"Single",6984.24706158531,10987.355991527,2.8977899462916,"Y","Yes",18.8370167561807,3.68370167561807,2.63259664876387,80,0,11.5814916219097,4.0511050268542,3.31629832438193,9.0511050268542,3.26519329752773,6.31629832438193,7,"1"
"723",33.8467146954499,"Travel_Rarely",690.978069061879,"Research & Development",6.71533142123371,1.10219020303339,"Medical",1,38.3576946184039,2,"Male",82.3868587817997,2.89780979696661,1.05109510151669,"Sales Executive",1.10219020303339,"Single",3041.70106732519,17494.7169502573,2.05109510151669,"Y","Yes",11,3,3,80,0.0510951015166938,7.79561959393322,2,3,3.89780979696661,2,1.05109510151669,2.94890489848331,"1"
"575.1",34,"Travel_Rarely",182,"Research & Development",1,4,"Life Sciences",1,797,2,"Female",72,4,1,"Research Scientist",4,"Single",3280,13551,2,"Y","No",16,3,3,80,0,10,2,3,4,2,1,3,"0"
"1112",53,"Travel_Rarely",607,"Research & Development",2,5,"Technical Degree",1,1572,3,"Female",78,2,3,"Manufacturing Director",4,"Married",10169,14618,0,"Y","No",16,3,2,80,1,34,4,3,33,7,1,9,"1"
"2371",38.5204652976245,"Travel_Rarely",1170.20794092934,"Research & Development",6.56139589287341,2.38011632440612,"Other",1,133.23955029808,3.42982551339082,"Female",93.5204652976245,2.19005816220306,1.19005816220306,"Laboratory Technician",2.61988367559388,"Single",2507.36772419792,3010.64809656469,5.23976735118777,"Y","Yes",14.8099418377969,3,2.38011632440612,80,0.380116324406117,6.61988367559388,3.19005816220306,3,0.190058162203059,0.190058162203059,0,0,"1"
"5541",29.8813100350089,"Travel_Rarely",390.213332011364,"Research & Development",10.8308297549374,3,"Life Sciences",1,970.942877714522,3.62710334500298,"Male",39.3392431349494,2.62710334500298,1,"Research Scientist",3,"Single",3317.32447732612,7434.13449407881,2.49158661998808,"Y","Yes",12.745793309994,3,1.37289665499702,80,0,6.62710334500298,2.74579330999404,1.74579330999404,5.88131003500894,2,4.38972341502085,5.50841338001192,"1"
"2601",41.4756702159066,"Travel_Frequently",868.525192822795,"Research & Development",22.9488248249982,1.63171134772711,"Life Sciences",1,508.046933490783,2,"Female",75.1585567386355,2.89513404318132,1.63171134772711,"Research Scientist",2.26342269545421,"Single",5484.38071966777,8255.22280543996,2.89513404318132,"Y","Yes",15.6828865227289,3.36828865227289,3.26342269545421,80,0,8.73657730454579,3.10486595681868,3,6.84144326136447,3.26342269545421,2.84144326136447,4.47315460909158,"1"
"4071",32.6583443600684,"Travel_Frequently",1197.40414967388,"Research & Development",1.51759381778538,2.48240618221462,"Other",1,538.023643711582,2.55278145335615,"Male",69.326909435913,2,1,"Laboratory Technician",2.51759381778538,"Divorced",2334.0975282006,4694.18305207044,3.58796908892691,"Y","Yes",15,3,1.51759381778538,80,0.964812364429235,4.10556290671229,2.51759381778538,3,0.482406182214618,0,0,0,"1"
